text,category,confidence_score,offset,length
Somerset Council,Organization,1.0,20,16
"Autumn College, Taunton, Somerset, TA1 1AB",Address,0.89,63,42
NHS,Organization,1.0,128,3
06/02/2002,DateTime,0.99,152,10
31-Mar-2024,DateTime,0.97,52,11
Sam Mears,Person,1.0,105,9
Sam Mears,Person,1.0,158,9
10/4/23,DateTime,0.99,43,7
Julie Fox,Person,1.0,70,9
17.5,Quantity,0.88,194,4
Summer,Person,0.97,209,6
Autumn College,Organization,0.97,239,14
Summer,Person,0.98,280,6
Summer,Person,0.94,375,6
Billie Lovell,Person,1.0,399,13
Summer,Person,0.97,414,6
Autumn College,Organization,0.78,446,14
Summer,Person,0.98,496,6
Summer,Person,0.98,567,6
Autumn College,Organization,0.98,587,14
Summer,Person,1.0,827,6
Summer,Person,0.99,923,6
Autumn College,Organization,0.97,139,14
Summer,Person,0.96,0,6
Summer,Person,0.95,0,6
Summer,Person,0.98,0,6
Summer,Person,0.95,0,6
Summer,Person,0.89,49,6
Summer,Person,0.97,102,6
Summer,Person,0.99,181,6
Billie Eilish,Person,1.0,248,13
Summer,Person,0.75,90,6
Summer,Person,0.94,128,6
Summer,Person,0.98,215,6
Summer,Person,0.94,285,6
Summer,Person,0.94,484,6
Summer,Person,0.97,192,6
Summer,Person,0.97,338,6
Summer,Person,0.9,66,6
Summer,Person,0.98,237,6
Summer,Person,0.92,366,6
Summer,Person,0.94,469,6
The Range,Organization,0.88,524,9
Summer,Person,0.99,535,6
Summer,Person,0.87,130,6
Summer,Person,0.8,188,6
Summer,Person,0.98,0,6
Summer,Person,0.97,100,6
Summer,Person,0.93,330,6
Summer,Person,0.98,479,6
Summer,Person,0.88,59,6
Summer,Person,0.71,101,6
Summer,Person,0.96,157,6
Summer,Person,0.64,222,6
Summer,Person,0.85,27,6
Summer,Person,0.93,117,6
Summer,Person,0.64,165,6
Summer,Person,0.72,0,6
Summer,Person,0.76,51,6
Summer,Person,0.96,124,6
Summer,Person,0.95,189,6
Summer,Person,0.92,29,6
Summer,Person,0.95,139,6
Summer,Person,0.99,304,6
Summer,Person,0.51,106,6
Summer,Person,0.63,191,6
Summer,Person,0.99,162,6
Summer,Person,0.97,247,6
Barry,Person,0.99,121,5
Summer,Person,0.98,148,6
Summer,Person,0.99,205,6
Summer,Person,0.98,337,6
Summer,Person,0.99,109,6
Summer,Person,1.0,180,6
Summer,Person,0.98,254,6
Summer,Person,0.99,350,6
Autumn College,Organization,0.96,376,14
Summer,Person,0.99,456,6
Summer,Person,0.99,536,6
Summer,Person,0.97,50,6
Summer,Person,0.97,106,6
Autumn College,Organization,0.97,171,14
Summer,Person,0.88,187,6
Summer,Person,0.93,297,6
Summer,Person,0.96,0,6
Summer,Person,0.98,75,6
Summer,Person,0.9,34,6
Summer,Person,0.8,108,6
Summer,Person,0.85,23,6
Summer,Person,0.97,0,6
Summer,Person,0.75,59,6
Summer,Person,0.92,279,6
Summer,Person,0.95,374,6
Summer,Person,0.94,436,6
Summer,Person,0.98,549,6
Summer,Person,0.63,611,6
Summer,Person,0.88,22,6
Autumn College,Organization,0.94,135,14
Autumn College,Organization,0.96,241,14
Autumn College,Organization,0.84,309,14
Autumn College,Organization,0.98,58,14
Children's services,Organization,0.97,324,19
Summer,Person,0.97,0,6
Summer,Person,0.96,77,6
Summer,Person,0.77,0,6
Autumn college,Organization,0.79,0,14
Oak Group,Organization,1.0,58,9
Autumn college,Organization,0.84,199,14
Summer,Person,0.99,0,6
Summer,Person,0.98,157,6
Summer,Person,0.72,301,6
Summer,Person,0.99,444,6
Summer,Person,0.99,558,6
Summer,Person,0.99,16,6
Summer,Person,0.99,134,6
Autumn college,Organization,0.77,415,14
NHS,Organization,0.82,452,3
FCAMHS,Organization,0.94,472,6
OTs,Organization,0.5,497,3
Summer,Person,0.95,512,6
Summer,Person,0.99,557,6
Summer,Person,0.99,623,6
Summer,Person,0.99,650,6
Summer,Person,0.72,0,6
summer,Person,0.57,82,6
Summer,Person,0.97,101,6
Summer,Person,0.99,214,6
18.,Quantity,0.98,264,3
Summer,Person,0.96,293,6
Summer,Person,0.6,407,6
Adult Social Care,Organization,1.0,88,17
